6.649796 6.661169 -9.054426 
6.488485 6.512151 -8.735103 
6.333425 6.347415 -8.393724 
6.204233 6.188959 -8.059249 
6.096724 6.029171 -7.722807 
6.012157 5.886479 -7.394025 
5.936729 5.724959 -7.055713 
5.883529 5.570862 -6.728353 
5.834722 5.400106 -6.391325 
5.804344 5.237232 -6.062857 
5.779854 5.067515 -5.729349 
5.768122 4.910507 -5.409954 
5.751269 4.748362 -5.085726 
5.736540 4.598626 -4.771478 
5.713400 4.449274 -4.453026 
5.689559 4.318062 -4.139699 
5.659368 4.191335 -3.827481 
5.622675 4.070903 -3.516038 
5.573421 3.940479 -3.203284 
5.519909 3.818982 -2.881375 
5.470606 3.694634 -2.566498 
5.416797 3.571008 -2.244300 
5.364689 3.441575 -1.926605 
5.311260 3.317663 -1.605799 
5.256447 3.182253 -1.287645 
5.201150 3.051055 -0.966572 
5.144525 2.911632 -0.642557 
5.092726 2.771822 -0.321484 
5.038289 2.624052 0.006703 
4.989973 2.478354 0.329301 
4.935895 2.318419 0.661091 
4.889836 2.166901 0.992549 
4.842269 2.004262 1.322223 
4.788821 1.843457 1.669202 
4.743742 1.671836 2.002077 
4.683610 1.518287 2.349620 
4.615981 1.348663 2.693778 
4.533046 1.180878 3.060559 
4.465862 0.993972 3.425996 
4.425954 0.814847 3.742277 
4.363544 0.606771 4.090074 
4.341723 0.418483 4.400293 
4.320104 0.232268 4.707934 
4.313777 0.069484 4.996902 
4.305512 -0.100054 5.301606 
4.302636 -0.263367 5.596824 
4.308715 -0.426640 5.902358 
4.321277 -0.587351 6.193039 
4.343412 -0.750585 6.494898 
4.369657 -0.907144 6.776842 
4.396943 -1.068897 7.078769 
4.426797 -1.223878 7.355389 
4.451160 -1.383406 7.644862 
4.476482 -1.537775 7.909586 
4.496966 -1.694272 8.190897 
4.515491 -1.852008 8.449860 
4.535724 -2.005630 8.722772 
4.546636 -2.160780 8.985676 
4.555061 -2.316378 9.267699 
4.561498 -2.470863 9.529955 
4.563504 -2.625681 9.825359 
4.562497 -2.788766 10.127872 
4.568870 -2.942507 10.489175 
4.578034 -3.093543 10.834544 
